movie,cell_number,object_id,Acc(1)/Alt(0)/NA(3),slice_num,x1,y1,z1,x4,y4,z4,x2,y2,z2,x3,y3,z3,Mother's cell number,Daughter cell Acc,Daughter cell Alt,dist pole to pole,length(um)
CDCssbGFPmcherry01_102,6,-6,1,127,523.6667,484.66666,127,553.6667,509.66666,127,553.6667,509.66666,127,553.6667,509.66666,127,5,0,0,39.05124838,4.177415769
CDCssbGFPmcherry01_102,6,-6,1,130,522.6667,482.66666,130,554,508.33334,130,536.6667,498.66666,130,554,508.33334,130,5,0,0,40.50375478,4.332794237
CDCssbGFPmcherry01_102,6,-6,1,133,520.6667,484.33334,133,553.3333,508.33334,133,537.6667,499.66666,133,553.3333,508.33334,133,5,0,0,40.53525324,4.336163711
CDCssbGFPmcherry01_102,6,-6,1,136,519.6667,487,136,556.6667,508.33334,136,556.6667,508.33334,136,556.6667,508.33334,136,5,0,0,42.70961713,4.568761192
CDCssbGFPmcherry01_102,6,-6,1,139,520,485.33334,139,556,510,139,535.3333,496.33334,139,556,510,139,5,0,0,43.63993716,4.668279997
CDCssbGFPmcherry01_102,6,-6,1,142,520,486,142,557.3333,510.33334,142,537,500.33334,142,557.3333,510.33334,142,5,0,0,44.56328898,4.767053393
CDCssbGFPmcherry01_102,6,-6,1,145,521.6667,482,145,558.6667,511,145,558.6667,511,145,558.6667,511,145,5,0,0,47.01063709,5.028852722
CDCssbGFPmcherry01_102,6,-6,1,148,529,483.33334,148,562.3333,515.6667,148,554.3333,510,148,562.3333,515.6667,148,5,0,0,46.43872369,4.967673626
CDCssbGFPmcherry01_102,6,-6,1,151,527.6667,482.66666,151,563.6667,515.6667,151,538,491.66666,151,563.6667,515.6667,151,5,0,0,48.83648882,5.224168931
CDCssbGFPmcherry01_102,6,-6,1,154,532,479.66666,154,564.3333,518,154,544.3333,499.33334,154,564.3333,518,154,5,0,0,50.14865147,5.364534455
CDCssbGFPmcherry01_102,6,-6,1,157,548,478.66666,157,557.6667,527.3333,157,551,503.66666,157,557.6667,527.3333,157,5,0,0,49.61740559,5.307705672
CDCssbGFPmcherry01_102,6,-6,1,160,545.3333,479.66666,160,556.6667,531,160,556.6667,531,160,556.6667,531,160,5,0,0,52.56955156,5.623504568
CDCssbGFPmcherry01_102,6,-6,1,163,548,480.66666,163,562.3333,531,163,562.3333,531,163,562.3333,531,163,5,0,0,52.33439218,5.598348945
CDCssbGFPmcherry01_102,6,-6,1,166,547.6667,480.33334,166,564,530.3333,166,550.3333,497,166,564,530.3333,166,5,0,0,52.60012062,5.626774622
CDCssbGFPmcherry01_102,6,-6,1,169,545.6667,482,169,567,535,169,567,535,169,567,535,169,5,0,0,57.13238739,6.111603237
CDCssbGFPmcherry01_102,6,-6,1,172,545,481.33334,172,569.3333,534,172,569.3333,534,172,569.3333,534,172,5,0,0,58.01626121,6.206153567
CDCssbGFPmcherry01_102,6,-6,1,175,544.3333,481.66666,175,570.6667,535,175,570.6667,535,175,570.6667,535,175,5,0,0,59.48019091,6.362754016
CDCssbGFPmcherry01_102,6,-6,1,178,543,481.66666,178,575.6667,537,178,575.6667,537,178,575.6667,537,178,5,0,0,64.25645341,6.873683502
CDCssbGFPmcherry01_102,6,-6,1,181,542.3333,483.66666,181,578,533.6667,181,578,533.6667,181,578,533.6667,181,5,0,0,61.41756661,6.570000241
CDCssbGFPmcherry01_102,6,-6,1,184,540,485.33334,184,581,531,184,581,531,184,581,531,184,5,0,0,61.37136006,6.565057403
CDCssbGFPmcherry01_102,6,-6,1,187,536.3333,486,187,583.3333,529.6667,187,583.3333,529.6667,187,583.3333,529.6667,187,5,0,0,64.15435051,6.862761284
CDCssbGFPmcherry01_102,7,-7,1,34,559.3333,505.33334,34,562.6667,529,34,562.6667,529,34,562.6667,529,34,0,8,0,23.90025839,2.556674125
CDCssbGFPmcherry01_102,7,-7,1,37,553.3333,502,37,561.3333,525,37,561.3333,525,37,561.3333,525,37,0,8,0,24.35159132,2.604954407
CDCssbGFPmcherry01_102,7,-7,1,40,541.6667,509.66666,40,560.3333,529.6667,40,560.3333,529.6667,40,560.3333,529.6667,40,0,8,0,27.35769646,2.926525459
CDCssbGFPmcherry01_102,7,-7,1,43,539,509.33334,43,559.3333,528.6667,43,559.3333,528.6667,43,559.3333,528.6667,43,0,8,0,28.0574749,3.001382618
CDCssbGFPmcherry01_102,7,-7,1,46,537,511,46,560.6667,528.6667,46,560.6667,528.6667,46,560.6667,528.6667,46,0,8,0,29.53345523,3.159272154
CDCssbGFPmcherry01_102,7,-7,1,49,535.6667,511,49,561.3333,529,49,561.3333,529,49,561.3333,529,49,0,8,0,31.34923214,3.353510633
CDCssbGFPmcherry01_102,7,-7,1,52,535,511,52,562.3333,530,52,562.3333,530,52,562.3333,530,52,0,8,0,33.28827555,3.560935258
CDCssbGFPmcherry01_102,7,-7,1,55,531,515,55,557,534,55,533.3333,517.6667,55,557,534,55,0,8,0,32.20248438,3.444785292
CDCssbGFPmcherry01_102,7,-7,1,58,525,518.3333,58,555.3333,533,58,526.6667,520,58,555.3333,533,58,0,8,0,33.69304346,3.604234356
CDCssbGFPmcherry01_102,7,-7,1,61,521.6667,520.6667,61,555,533.3333,61,524,520.6667,61,555,533.3333,61,0,8,0,35.65882281,3.814518995
CDCssbGFPmcherry01_102,7,-7,1,64,520.3333,519.6667,64,552.6667,534.3333,64,523.3333,521.3333,64,552.6667,534.3333,64,0,8,0,35.50433651,3.797993185
CDCssbGFPmcherry01_102,8,-8,1,67,520.6667,512.3333,67,535,526,67,535,526,67,535,526,67,7,0,0,19.80459991,2.118550658
CDCssbGFPmcherry01_102,8,-8,1,70,508,454.33334,70,520.6667,470.33334,70,510,456.66666,70,520.6667,470.33334,70,7,0,0,20.40699118,2.182990053
