movie,cell_number,object_id,Acc(1)/Alt(0)/NA(3),slice_num,x1,y1,z1,x4,y4,z4,x2,y2,z2,x3,y3,z3,Mother's cell number,Daughter cell Acc,Daughter cell Alt,dist pole to pole
CDCssbGFPmcherry01_030_2,2,-2,1,103,541.6667,673,103,511.33334,686.3333,103,511.33334,686.3333,103,511.33334,686.3333,103,1,3,5,33.13441742
CDCssbGFPmcherry01_030_2,2,-2,1,106,527,647,106,533.6667,617.6667,106,532.3333,626.6667,106,533.6667,617.6667,106,1,3,5,30.08134601
CDCssbGFPmcherry01_030_2,2,-2,1,109,594,496,109,593.3333,463.66666,109,593.3333,463.66666,109,593.3333,463.66666,109,1,3,5,32.34021281
CDCssbGFPmcherry01_030_2,2,-2,1,112,574.3333,440.66666,112,610,434.33334,112,610,434.33334,112,610,434.33334,112,1,3,5,36.22463845
CDCssbGFPmcherry01_030_2,2,-2,1,115,574,443.33334,115,608.6667,434,115,608.6667,434,115,608.6667,434,115,1,3,5,35.90113263
CDCssbGFPmcherry01_030_2,2,-2,1,118,573.3333,444.33334,118,610,432.66666,118,610,432.66666,118,610,432.66666,118,1,3,5,38.47802374
CDCssbGFPmcherry01_030_2,2,-2,1,121,571.6667,444.66666,121,610,433.66666,121,610,433.66666,121,610,433.66666,121,1,3,5,39.88034464
CDCssbGFPmcherry01_030_2,2,-2,1,124,572.6667,448,124,610,431.66666,124,585,443.33334,124,610,431.66666,124,1,3,5,40.74988693
CDCssbGFPmcherry01_030_2,2,-2,1,127,571,449,127,611,431,127,611,431,127,611,431,127,1,3,5,43.8634244
CDCssbGFPmcherry01_030_2,2,-2,1,130,572.6667,448.33334,130,611.3333,430.33334,130,611.3333,430.33334,130,611.3333,430.33334,130,1,3,5,42.65097837
CDCssbGFPmcherry01_030_2,2,-2,1,133,571,449.66666,133,611.3333,427,133,611.3333,427,133,611.3333,427,133,1,3,5,46.266106
CDCssbGFPmcherry01_030_2,2,-2,1,136,578.6667,460,136,604,421.66666,136,604,421.66666,136,604,421.66666,136,1,3,5,45.94802547
CDCssbGFPmcherry01_030_2,3,-3,1,139,569,434,139,593.6667,437.33334,139,593.6667,437.33334,139,593.6667,437.33334,139,2,4,0,24.89090686
CDCssbGFPmcherry01_030_2,3,-3,1,142,564.3333,438.66666,142,591.6667,440.66666,142,591.6667,440.66666,142,591.6667,440.66666,142,2,4,0,27.40647288
CDCssbGFPmcherry01_030_2,3,-3,1,145,561,440.66666,145,588.3333,441.66666,145,573.6667,441.33334,145,588.3333,441.66666,145,2,4,0,27.35158659
CDCssbGFPmcherry01_030_2,3,-3,1,148,560,435.66666,148,588.6667,444.33334,148,572.3333,439.66666,148,588.6667,444.33334,148,2,4,0,29.94813903
CDCssbGFPmcherry01_030_2,3,-3,1,151,561.6667,430.66666,151,587.6667,447.66666,151,571.3333,437,151,587.6667,447.66666,151,2,4,0,31.06444913
CDCssbGFPmcherry01_030_2,3,-3,1,154,556.3333,453.33334,154,586.3333,450.33334,154,563,452.66666,154,586.3333,450.33334,154,2,4,0,30.14962686
CDCssbGFPmcherry01_030_2,3,-3,1,157,559.6667,445.66666,157,588.6667,451.33334,157,573,448.66666,157,588.6667,451.33334,157,2,4,0,29.54845617
CDCssbGFPmcherry01_030_2,3,-3,1,160,561.3333,435.66666,160,587.3333,453.66666,160,576.3333,448.33334,160,587.3333,453.66666,160,2,4,0,31.6227766
CDCssbGFPmcherry01_030_2,3,-3,1,163,564.6667,428.66666,163,587.6667,452.33334,163,578.6667,444.66666,163,587.6667,452.33334,163,2,4,0,33.00169302
CDCssbGFPmcherry01_030_2,3,-3,1,166,571,420,166,589.3333,448.66666,166,589.3333,448.66666,166,589.3333,448.66666,166,2,4,0,34.02774286
CDCssbGFPmcherry01_030_2,3,-3,1,169,581.3333,411,169,592,446.66666,169,592,446.66666,169,592,446.66666,169,2,4,0,37.22753181
CDCssbGFPmcherry01_030_2,3,-3,1,172,581.6667,409,172,590.3333,446,172,590.3333,446,172,590.3333,446,172,2,4,0,38.00144676
